make,model,year,vin,color
Mazda,Mazda3,2008,VIN00000000000000,White
Tesla,Model S,1995,VIN00000000000001,Silver
Mercedes-Benz,C-Class,2009,VIN00000000000004,Black
Toyota,Corolla,2007,VIN00000000000005,Blue
BMW,Z4,2002,VIN00000000000009,Black
Subaru,Forester,2005,VIN00000000000011,White
Mazda,Mazda3,2005,VIN00000000000014,Silver
Toyota,RAV4,2000,VIN00000000000019,Green
Ford,F-150,2013,VIN00000000000020,Black
Subaru,Forester,2015,VIN00000000000023,White
Volvo,S60,1993,VIN00000000000025,White
BMW,X5,2006,VIN00000000000026,Red
Mercedes-Benz,C-Class,2013,VIN00000000000028,Red
Mercedes-Benz,GLC,1996,VIN00000000000029,Black
Volvo,XC60,2015,VIN00000000000030,Green
Toyota,Camry,1990,VIN00000000000031,Black
Volvo,XC60,2012,VIN00000000000033,Green
Tesla,Model 3,2002,VIN00000000000035,Green
Ford,Mustang,2009,VIN00000000000036,Black
Ford,Mustang,2020,VIN00000000000037,Blue
Mazda,MX-5,2023,VIN00000000000038,Black
Ford,Mustang,1991,VIN00000000000040,Blue
Honda,CR-V,2003,VIN00000000000041,White
Tesla,Model Y,2020,VIN00000000000038,Red
Mercedes-Benz,GLC,2023,VIN00000000000046,Blue
BMW,X5,2024,VIN00000000000047,Green
Toyota,Corolla,2020,VIN00000000000050,Silver
BMW,X5,1991,VIN00000000000051,Red
Mercedes-Benz,S-Class,2003,VIN00000000000053,Silver
BMW,X5,1991,VIN00000000000055,White
Honda,Civic,1995,VIN00000000000056,Red
Volvo,XC60,2008,VIN00000000000057,Black
Mazda,CX-5,2023,VIN00000000000058,Blue
Mercedes-Benz,C-Class,2007,VIN00000000000061,White
Toyota,RAV4,2012,VIN00000000000064,Blue
Mazda,CX-5,2024,VIN00000000000065,Black
Mazda,CX-5,2016,VIN00000000000066,Red
BMW,Z4,2018,VIN00000000000067,Black
Chevrolet,Malibu,2020,VIN00000000000069,Blue
Chevrolet,Malibu,2012,VIN00000000000073,Silver
Mercedes-Benz,S-Class,2021,VIN00000000000075,White
Toyota,Camry,2013,VIN00000000000077,Blue
BMW,X5,2012,VIN00000000000079,Blue
Mercedes-Benz,C-Class,2012,VIN00000000000080,Blue
Toyota,RAV4,2004,VIN00000000000081,Red
Mazda,Mazda3,1994,VIN00000000000083,Green
Mercedes-Benz,C-Class,2017,VIN00000000000084,Black
Volvo,XC60,2000,VIN00000000000086,Green
Tesla,Model S,2006,VIN00000000000087,Red
BMW,Z4,1992,VIN00000000000089,Green
Chevrolet,Corvette,2021,VIN00000000000092,Black
Chevrolet,Tahoe,2019,VIN00000000000093,White
Toyota,Camry,2021,VIN00000000000096,Silver
BMW,3 Series,2008,VIN00000000000102,Black
Tesla,Model Y,1992,VIN00000000000104,Blue
Mazda,MX-5,1992,VIN00000000000105,Green
Honda,CR-V,2017,VIN00000000000108,Red
Tesla,Model 3,2000,VIN00000000000111,Red
Volvo,XC60,2009,VIN00000000000112,Red
Honda,Civic,2002,VIN00000000000115,Green
Tesla,Model 3,1991,VIN00000000000118,Black
Volvo,XC90,1995,VIN00000000000121,Green
Mercedes-Benz,S-Class,1994,VIN00000000000122,Blue
Volvo,S60,2009,VIN00000000000125,Green
Chevrolet,Tahoe,2005,VIN00000000000127,Black
Honda,CR-V,1991,VIN00000000000128,Green
Mazda,MX-5,2002,VIN00000000000129,White
Tesla,Model 3,2001,VIN00000000000130,Black
Mercedes-Benz,GLC,2017,VIN00000000000131,White
Tesla,Model S,2020,VIN00000000000128,Green
BMW,Z4,2000,VIN00000000000136,Silver
Subaru,Forester,1996,VIN00000000000137,Green
Volvo,S60,2019,VIN00000000000139,Green
BMW,X5,2022,VIN00000000000142,Blue
Volvo,XC60,2022,VIN00000000000143,Red
Subaru,Outback,1993,VIN00000000000145,Black
Tesla,Model 3,2017,VIN00000000000146,Silver
Tesla,Model S,2008,VIN00000000000149,Green
Volvo,XC90,1991,VIN00000000000151,Silver
Honda,Accord,1992,VIN00000000000152,Black
Volvo,XC60,2015,VIN00000000000155,Blue
Mazda,Mazda3,2017,VIN00000000000157,Silver
Honda,CR-V,2009,VIN00000000000159,Silver
Mercedes-Benz,C-Class,1997,VIN00000000000163,Black
Toyota,Camry,2015,VIN00000000000164,Green
Ford,Mustang,2006,VIN00000000000165,Red
Honda,CR-V,1997,VIN00000000000171,Green
Subaru,Impreza,2012,VIN00000000000172,Green
BMW,X5,2024,VIN00000000000173,Black
Subaru,Outback,1992,VIN00000000000176,Silver
Mazda,CX-5,2020,VIN00000000000173,Green
Subaru,Impreza,1990,VIN00000000000181,Blue
Ford,F-150,2019,VIN00000000000182,Blue
Toyota,Camry,1996,VIN00000000000184,Red
Subaru,Forester,1996,VIN00000000000186,Green
Subaru,Impreza,2014,VIN00000000000187,Silver
Toyota,Corolla,1999,VIN00000000000188,Blue
Honda,CR-V,1992,VIN00000000000190,Blue
Chevrolet,Malibu,2009,VIN00000000000191,White
Ford,Mustang,2012,VIN00000000000192,Red
Honda,Civic,2003,VIN00000000000193,Red
Chevrolet,Tahoe,1994,VIN00000000000195,White
Tesla,Model S,2013,VIN00000000000196,Silver
Mercedes-Benz,GLC,2020,VIN00000000000199,White
Chevrolet,Corvette,1996,VIN00000000000200,Blue
Ford,Mustang,2009,VIN00000000000201,White
BMW,X5,2010,VIN00000000000204,Green
Volvo,S60,2017,VIN00000000000205,Blue
Volvo,S60,2001,VIN00000000000210,Black
Honda,Accord,1997,VIN00000000000212,Green
Mazda,CX-5,2001,VIN00000000000214,Green
Mercedes-Benz,C-Class,2012,VIN00000000000218,Blue
Tesla,Model Y,2003,VIN00000000000222,Black
Tesla,Model S,2024,VIN00000000000230,Black
Mercedes-Benz,GLC,2001,VIN00000000000231,Blue
BMW,3 Series,2006,VIN00000000000232,Blue
Mercedes-Benz,C-Class,2001,VIN00000000000234,Blue
Tesla,Model 3,2021,VIN00000000000238,Black
